84403386-42d5-11ea-24fb-6fb97cb3f451,img/regular/826828/colony4j-84403386-42d5-11ea-24fb-6fb97cb3f451.png,square,[1 4 1; 2 4 2; 1 4 1],"[3]=>0;[0, 9, 4, 2, 8, 6, 1]=>1;[5]=>same;[7]=>switch",false
853d9526-42d5-11ea-0661-cddde03b0971,img/regular/826828/colony4j-853d9526-42d5-11ea-0661-cddde03b0971.png,square,[1 4 1; 2 4 2; 1 4 1],"[3]=>0;[0, 9, 4, 2, 8, 6, 1]=>1;[7]=>same;[5]=>switch",false
855c0c36-42d5-11ea-0b8d-a9391cbd1b38,img/repeat/907180/colony4j-855c0c36-42d5-11ea-0b8d-a9391cbd1b38.png,blank,[1 4 1; 2 4 2; 1 4 1],"[5]=>0;[0, 9, 4, 2, 8, 6, 1]=>1;[3]=>same;[7]=>switch",true
856cec7c-42d5-11ea-1941-ff67f7813e32,img/repeat/907180/colony4j-856cec7c-42d5-11ea-1941-ff67f7813e32.png,blank,[1 4 1; 2 4 2; 1 4 1],"[5]=>0;[0, 9, 4, 2, 8, 6, 1]=>1;[7]=>same;[3]=>switch",true
858236a4-42d5-11ea-04c2-d539b0d2758d,img/regular/826828/colony4j-858236a4-42d5-11ea-04c2-d539b0d2758d.png,square,[1 4 1; 2 4 2; 1 4 1],"[7]=>0;[0, 9, 4, 2, 8, 6, 1]=>1;[3]=>same;[5]=>switch",false
85a7dc9c-42d5-11ea-05d6-95cb19a5bbce,img/repeat/907180/colony4j-85a7dc9c-42d5-11ea-05d6-95cb19a5bbce.png,random,[1 4 1; 2 4 2; 1 4 1],"[7]=>0;[0, 9, 4, 2, 8, 6, 1]=>1;[5]=>same;[3]=>switch",true
85b648d6-42d5-11ea-0db1-93199b373cb1,img/regular/826828/colony4j-85b648d6-42d5-11ea-0db1-93199b373cb1.png,random,[1 4 1; 2 4 2; 1 4 1],"[0, 9, 4, 2, 8, 6, 1]=>0;[3]=>1;[5]=>same;[7]=>switch",false
85d14d84-42d5-11ea-3a96-d9d1ed732cac,img/regular/826828/colony4j-85d14d84-42d5-11ea-3a96-d9d1ed732cac.png,square,[1 4 1; 2 4 2; 1 4 1],"[0, 9, 4, 2, 8, 6, 1]=>0;[3]=>1;[7]=>same;[5]=>switch",false
85ea0130-42d5-11ea-2be1-2bd209d0b05b,img/repeat/907180/colony4j-85ea0130-42d5-11ea-2be1-2bd209d0b05b.png,random,[1 4 1; 2 4 2; 1 4 1],"[5]=>0;[3]=>1;[0, 9, 4, 2, 8, 6, 1]=>same;[7]=>switch",true
86025bb8-42d5-11ea-14cc-35158d94cbb8,img/regular/826828/colony4j-86025bb8-42d5-11ea-14cc-35158d94cbb8.png,random,[1 4 1; 2 4 2; 1 4 1],"[5]=>0;[3]=>1;[7]=>same;[0, 9, 4, 2, 8, 6, 1]=>switch",false
86232d48-42d5-11ea-0759-f393adb36ab3,img/regular/826828/colony4j-86232d48-42d5-11ea-0759-f393adb36ab3.png,square,[1 4 1; 2 4 2; 1 4 1],"[7]=>0;[3]=>1;[0, 9, 4, 2, 8, 6, 1]=>same;[5]=>switch",false
86373af4-42d5-11ea-208f-230cdc5be1e1,img/regular/826828/colony4j-86373af4-42d5-11ea-208f-230cdc5be1e1.png,random,[1 4 1; 2 4 2; 1 4 1],"[7]=>0;[3]=>1;[5]=>same;[0, 9, 4, 2, 8, 6, 1]=>switch",false
8652ccd8-42d5-11ea-0c4e-f5bce8e2f663,img/regular/826828/colony4j-8652ccd8-42d5-11ea-0c4e-f5bce8e2f663.png,blank,[1 4 1; 2 4 2; 1 4 1],"[0, 9, 4, 2, 8, 6, 1]=>0;[5]=>1;[3]=>same;[7]=>switch",false
86657126-42d5-11ea-0924-61ed80af853e,img/regular/826828/colony4j-86657126-42d5-11ea-0924-61ed80af853e.png,random,[1 4 1; 2 4 2; 1 4 1],"[0, 9, 4, 2, 8, 6, 1]=>0;[5]=>1;[7]=>same;[3]=>switch",false
8677f788-42d5-11ea-35a0-4d0a082ef711,img/regular/826828/colony4j-8677f788-42d5-11ea-35a0-4d0a082ef711.png,square,[1 4 1; 2 4 2; 1 4 1],"[3]=>0;[5]=>1;[0, 9, 4, 2, 8, 6, 1]=>same;[7]=>switch",false
868f9316-42d5-11ea-343d-a193e07234f2,img/regular/826828/colony4j-868f9316-42d5-11ea-343d-a193e07234f2.png,square,[1 4 1; 2 4 2; 1 4 1],"[3]=>0;[5]=>1;[7]=>same;[0, 9, 4, 2, 8, 6, 1]=>switch",false
86a06c2c-42d5-11ea-2977-2b6dd89c4402,img/regular/826828/colony4j-86a06c2c-42d5-11ea-2977-2b6dd89c4402.png,square,[1 4 1; 2 4 2; 1 4 1],"[7]=>0;[5]=>1;[0, 9, 4, 2, 8, 6, 1]=>same;[3]=>switch",false
86b50d1c-42d5-11ea-345c-c959bc2ab249,img/regular/826828/colony4j-86b50d1c-42d5-11ea-345c-c959bc2ab249.png,random,[1 4 1; 2 4 2; 1 4 1],"[7]=>0;[5]=>1;[3]=>same;[0, 9, 4, 2, 8, 6, 1]=>switch",false
86c36e7a-42d5-11ea-17cd-c79f92c4bfdf,img/regular/826828/colony4j-86c36e7a-42d5-11ea-17cd-c79f92c4bfdf.png,square,[1 4 1; 2 4 2; 1 4 1],"[0, 9, 4, 2, 8, 6, 1]=>0;[7]=>1;[3]=>same;[5]=>switch",false
86d19e80-42d5-11ea-20e7-5333f3aaba76,img/regular/826828/colony4j-86d19e80-42d5-11ea-20e7-5333f3aaba76.png,blank,[1 4 1; 2 4 2; 1 4 1],"[0, 9, 4, 2, 8, 6, 1]=>0;[7]=>1;[5]=>same;[3]=>switch",false
